   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 2	 2- 0	 1- 4	    49947.84	Ej Spelad	1.00	 1
 0- 2	 2- 1	 0- 4	    45906.30	Ej Spelad	1.00	 1
 0- 2	 2- 1	 1- 3	     7847.23	 2.222	0.84	 1
 0- 2	 2- 1	 1- 4	    34004.67	Ej Spelad	1.00	 1
 0- 2	 2- 2	 0- 3	    18266.66	Ej Spelad	1.00	 1
 0- 2	 2- 2	 1- 3	    10304.27	 1.692	0.52	 1
 0- 2	 2- 2	 1- 4	    44651.82	Ej Spelad	1.00	 1
 0- 2	 2- 3	 0- 0	     8472.52	 3.087	0.87	 1
 0- 2	 2- 3	 0- 1	     9159.24	 2.856	0.79	 1
 0- 2	 2- 3	 0- 3	    45310.49	Ej Spelad	1.00	 1
 0- 2	 2- 3	 1- 0	     7182.80	 3.641	1.04	 1
 0- 2	 2- 3	 1- 1	     5528.90	 1.577	0.88	 1
 0- 2	 2- 4	 0- 0	    29550.50	Ej Spelad	1.00	 1
 0- 2	 2- 4	 0- 1	    31945.65	Ej Spelad	1.00	 1
 0- 2	 2- 4	 1- 1	    19283.71	Ej Spelad	1.00	 1
 0- 2	 2- 4	 1- 2	    41226.30	Ej Spelad	1.00	 1
 0- 2	 2- 4	 2- 0	    35638.26	Ej Spelad	1.00	 1
 0- 2	 2- 4	 2- 1	    31690.31	Ej Spelad	1.00	 1
 0- 2	 2- 4	 2- 2	    49479.90	Ej Spelad	1.00	 1
 0- 2	 3- 2	 0- 3	    44515.21	Ej Spelad	1.00	 1
 0- 2	 3- 2	 1- 3	    25111.14	Ej Spelad	1.00	 1
 0- 2	 3- 2	 2- 3	    38405.27	Ej Spelad	1.00	 1
 0- 2	 3- 3	 1- 3	    49936.06	Ej Spelad	1.00	 1
 0- 2	 3- 4	 1- 1	    43924.00	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 0	    23782.31	Ej Spelad	1.00	 1
 0- 2	 4- 0	 0- 1	    25709.94	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 0	    19751.42	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 1	    21352.32	Ej Spelad	1.00	 1
 0- 2	 4- 1	 0- 2	    36984.26	Ej Spelad	1.00	 1
 0- 2	 4- 2	 1- 2	    43939.80	Ej Spelad	1.00	 1
 0- 3	 0- 0	 0- 0	     5770.76	 1.295	0.55	 1
 0- 3	 0- 0	 1- 0	     4892.32	 1.527	0.95	 1
 0- 3	 0- 0	 1- 1	     3765.81	 1.736	1.46	 1
 0- 3	 0- 0	 1- 2	     8050.87	 1.624	0.63	 1
 0- 3	 0- 0	 1- 3	    17409.14	Ej Spelad	1.00	 1
 0- 3	 0- 0	 2- 1	     6188.64	 1.409	0.64	 1
 0- 3	 0- 0	 2- 2	     9662.67	 1.805	0.59	 1
