   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 0- 2	 3- 0	     4306.64	 4.925	0.06	0.10
 1- 0	 0- 2	 3- 1	     3406.34	 6.227	0.07	0.10
 1- 0	 0- 2	 3- 3	    15809.67	Ej Spelad	0.10	0.10
 1- 0	 0- 2	 4- 0	    10972.19	Ej Spelad	0.10	0.10
 1- 0	 0- 2	 4- 1	     9331.05	Ej Spelad	0.10	0.10
 1- 0	 0- 2	 4- 2	    13996.57	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 0- 0	     3312.80	 6.403	0.07	0.10
 1- 0	 0- 3	 0- 1	     3861.21	 5.494	0.06	0.10
 1- 0	 0- 3	 1- 0	     2822.22	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 1- 1	     2164.55	 9.800	0.10	0.10
 1- 0	 0- 3	 1- 2	     4295.94	 4.938	0.06	0.10
 1- 0	 0- 3	 1- 3	     9738.14	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 2- 0	     3895.61	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 2- 1	     3332.91	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 2- 2	     5277.21	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 2- 3	    15602.74	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 3- 0	     8282.97	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 3- 1	     6551.43	Ej Spelad	0.10	0.10
 1- 0	 0- 3	 3- 2	    11139.17	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 0- 0	    10117.48	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 0- 1	    11792.35	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 1- 0	     8619.22	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 1- 1	     6610.66	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 1- 2	    13120.04	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 2- 0	    11897.40	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 2- 1	    10178.89	Ej Spelad	0.10	0.10
 1- 0	 0- 4	 2- 2	    16116.89	Ej Spelad	0.10	0.10
 1- 0	 1- 0	 0- 0	     1034.11	 1.367	0.12	0.10
 1- 0	 1- 0	 1- 0	      880.97	 1.605	0.19	0.20
