   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 1- 3	 0- 0	     3789.21	 3.205	1.95	 2
 0- 0	 1- 3	 0- 1	     4416.48	 8.250	1.54	 2
 0- 0	 1- 3	 0- 2	     7363.07	 1.649	0.70	 1
 0- 0	 1- 3	 1- 0	     3228.08	 2.822	2.24	 2
 0- 0	 1- 3	 1- 1	     2475.83	 3.679	3.02	 3
 0- 0	 1- 3	 1- 2	     4913.73	 1.854	1.19	 1
 0- 0	 1- 3	 2- 0	     4455.83	 4.089	1.68	 2
 0- 0	 1- 3	 2- 1	     3812.21	 9.558	1.72	 2
 0- 0	 1- 3	 2- 2	     6036.12	 6.043	1.20	 1
 0- 0	 1- 3	 3- 0	     9474.13	 3.850	0.79	 1
 0- 0	 1- 3	 3- 1	     7493.58	 4.868	0.99	 1
 0- 0	 1- 3	 3- 2	    12741.07	 2.863	0.57	 1
 0- 0	 1- 4	 0- 0	    12358.66	 2.952	0.59	 1
 0- 0	 1- 4	 1- 0	    10528.51	 3.465	0.71	 1
 0- 0	 1- 4	 1- 1	     8075.02	 4.517	0.93	 1
 0- 0	 1- 4	 2- 1	    12433.67	 2.934	0.59	 1
 0- 0	 2- 0	 0- 1	     2910.96	 2.086	2.20	 2
 0- 0	 2- 0	 1- 0	     2127.67	 1.317	1.58	 2
 0- 0	 2- 0	 1- 1	     1631.85	 2.233	4.07	 4
 0- 0	 2- 0	 1- 2	     3238.70	 1.607	1.54	 2
 0- 0	 2- 0	 1- 3	     7341.56	 1.654	0.71	 1
 0- 0	 2- 0	 2- 0	     2936.89	 1.241	0.94	 1
 0- 0	 2- 0	 2- 1	     2512.67	 1.813	2.28	 2
 0- 0	 2- 0	 2- 2	     3978.48	 1.526	1.16	 1
 0- 0	 2- 0	 2- 3	    11762.87	 3.098	0.63	 1
 0- 0	 2- 0	 3- 0	     6244.51	 1.945	0.97	 1
 0- 0	 2- 0	 3- 1	     4939.11	 1.844	1.18	 1
 0- 0	 2- 0	 3- 2	     8397.79	 4.339	0.89	 1
 0- 0	 2- 0	 4- 1	    13529.78	 2.693	0.53	 1
 0- 0	 2- 1	 0- 0	     1672.91	 4.356	4.48	 4
 0- 0	 2- 1	 0- 1	     1949.85	 4.672	3.83	 4
 0- 0	 2- 1	 0- 2	     3250.75	 2.802	2.22	 2
 0- 0	 2- 1	 1- 0	     1425.18	 4.261	5.26	 5
 0- 0	 2- 1	 1- 1	     1093.06	 5.556	6.70	 7
 0- 0	 2- 1	 1- 2	     2169.38	 5.598	3.37	 3
 0- 0	 2- 1	 1- 3	     4917.60	 1.482	0.89	 1
 0- 0	 2- 1	 2- 0	     1967.22	 2.646	3.61	 4
 0- 0	 2- 1	 2- 1	     1683.07	 2.706	4.25	 4
 0- 0	 2- 1	 2- 2	     2664.91	 2.734	2.69	 3
 0- 0	 2- 1	 2- 3	     7879.14	 2.312	0.86	 1
 0- 0	 2- 1	 3- 0	     4182.77	 8.711	1.61	 2
 0- 0	 2- 1	 3- 1	     3308.37	 5.507	2.22	 2
 0- 0	 2- 1	 3- 2	     5625.10	 6.477	1.27	 1
 0- 0	 2- 1	 4- 0	    10656.60	 3.419	0.70	 1
 0- 0	 2- 1	 4- 1	     9062.67	 4.020	0.83	 1
 0- 0	 2- 1	 4- 2	    13594.00	 2.680	0.52	 1
 0- 0	 2- 2	 0- 1	     2582.25	 2.016	2.42	 2
 0- 0	 2- 2	 1- 0	     1887.41	 2.413	3.65	 4
 0- 0	 2- 2	 1- 1	     1447.58	 2.517	4.83	 5
 0- 0	 2- 2	 1- 2	     2872.99	 1.812	1.99	 2
 0- 0	 2- 2	 2- 0	     2605.26	 1.554	1.83	 2
 0- 0	 2- 2	 2- 1	     2228.94	 2.724	3.21	 3
 0- 0	 2- 2	 2- 3	    10434.61	 1.746	0.53	 1
 0- 0	 2- 2	 3- 0	     5539.39	 6.578	1.29	 1
 0- 0	 2- 2	 3- 1	     4381.39	 8.316	1.55	 2
 0- 0	 2- 2	 3- 2	     7449.52	 4.891	1.00	 1
 0- 0	 2- 2	 4- 1	    12002.00	 3.036	0.61	 1
 0- 0	 2- 3	 0- 0	     5391.36	 6.758	1.32	 1
 0- 0	 2- 3	 0- 1	     6283.86	 5.798	1.16	 1
 0- 0	 2- 3	 0- 2	    10476.31	 3.478	0.71	 1
 0- 0	 2- 3	 1- 0	     4592.97	 7.933	1.50	 1
 0- 0	 2- 3	 1- 1	     3522.66	10.343	1.82	 2
 0- 0	 2- 3	 1- 2	     6991.35	 5.212	1.06	 1
 0- 0	 2- 3	 2- 0	     6339.84	 5.747	1.15	 1
 0- 0	 2- 3	 2- 1	     5424.08	 6.717	1.31	 1
 0- 0	 2- 3	 2- 2	     8588.30	 4.247	0.87	 1
 0- 0	 2- 3	 3- 0	    13479.97	 2.706	0.53	 1
 0- 0	 2- 3	 3- 1	    10662.01	 3.421	0.70	 1
 0- 0	 2- 4	 1- 1	    12497.05	 2.919	0.58	 1
 0- 0	 3- 0	 0- 0	     4940.56	 7.375	1.41	 1
 0- 0	 3- 0	 0- 1	     5758.44	 6.327	1.25	 1
 0- 0	 3- 0	 0- 2	     9600.34	 3.795	0.78	 1
 0- 0	 3- 0	 1- 0	     4208.94	 4.328	1.78	 2
