   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 2- 3	 4- 1	   128654.78	Ej Spelad	1.00	 1
 0- 0	 2- 4	 0- 0	    26071.51	Ej Spelad	1.00	 1
 0- 0	 2- 4	 0- 1	    25198.57	Ej Spelad	1.00	 1
 0- 0	 2- 4	 0- 2	    62710.46	Ej Spelad	1.00	 1
 0- 0	 2- 4	 0- 3	   238312.08	Ej Spelad	1.00	 1
 0- 0	 2- 4	 1- 0	    37435.19	Ej Spelad	1.00	 1
 0- 0	 2- 4	 1- 1	    25378.99	Ej Spelad	1.00	 1
 0- 0	 2- 4	 1- 2	    56069.59	Ej Spelad	1.00	 1
 0- 0	 2- 4	 1- 3	   297608.66	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 0	    23518.52	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 1	   102862.64	Ej Spelad	1.00	 1
 0- 0	 2- 4	 2- 2	   168399.64	Ej Spelad	1.00	 1
 0- 0	 2- 4	 3- 0	   247779.31	Ej Spelad	1.00	 1
 0- 0	 2- 5	 0- 0	   126108.70	Ej Spelad	1.00	 1
 0- 0	 2- 5	 0- 1	   156881.19	Ej Spelad	1.00	 1
 0- 0	 2- 5	 0- 2	   396812.75	Ej Spelad	1.00	 1
 0- 0	 2- 5	 1- 0	   126984.69	Ej Spelad	1.00	 1
 0- 0	 2- 5	 1- 1	   140262.66	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 0	     1385.04	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 1	     2605.55	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 2	     6337.19	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 3	     7850.14	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 4	   112563.55	Ej Spelad	1.00	 1
 0- 0	 3- 0	 0- 5	   378550.56	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 0	     1820.24	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 1	     2081.98	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 2	     5580.06	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 3	    22650.09	Ej Spelad	1.00	 1
 0- 0	 3- 0	 1- 4	    35332.15	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 0	     5256.14	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 1	     5604.47	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 2	    10587.10	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 3	    37572.25	Ej Spelad	1.00	 1
 0- 0	 3- 0	 2- 4	   247675.94	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 0	    25236.59	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 1	    22946.33	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 2	    47304.73	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 3	    90734.43	Ej Spelad	1.00	 1
 0- 0	 3- 0	 3- 4	   385778.53	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 0	    61808.16	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 1	    99778.33	Ej Spelad	1.00	 1
 0- 0	 3- 0	 4- 2	   155879.14	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 0	     2607.70	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 1	     3172.98	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 2	     2614.13	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 3	    28091.00	Ej Spelad	1.00	 1
 0- 0	 3- 1	 0- 4	    76169.16	Ej Spelad	1.00	 1
 0- 0	 3- 1	 1- 0	     2081.44	Ej Spelad	1.00	 1
